"Date","Open","High","Low","Close","Volume","ticker","name"
"1986-07-09 00:00:00-04:00","7.14008767767386","7.390617069872944","7.056577880274166","7.348862171173096","1116800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-10 00:00:00-04:00","7.390618694850376","7.4323736027308875","7.140089247567313","7.3071088790893555","595600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-11 00:00:00-04:00","7.2653536429772005","7.307108548971322","7.056579113006591","7.056579113006592","800400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-14 00:00:00-04:00","7.09833496954383","7.09833496954383","6.7642956768594145","6.847805500030518","738000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-15 00:00:00-04:00","6.806049601836774","6.806049601836774","6.2214809243784","6.6390299797058105","2059200","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-16 00:00:00-04:00","6.63903131308379","7.014825538352684","6.63903131308379","6.764296054840088","1160400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-17 00:00:00-04:00","6.764299182072739","6.847809048518082","6.680789315627397","6.80605411529541","1046000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-18 00:00:00-04:00","6.8060505884449665","6.910437867408846","6.6807858536883105","6.847805500030518","1420000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-21 00:00:00-04:00","6.847805500030518","6.88956041161607","6.8060505884449665","6.847805500030518","322800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-22 00:00:00-04:00","6.847809048518082","6.868686515129418","6.80605411529541","6.80605411529541","390800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-23 00:00:00-04:00","6.847804620399238","6.847804620399238","6.680784995511452","6.722539901733398","1004000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-24 00:00:00-04:00","6.722539790771292","6.764294696304033","6.555520168640328","6.6390299797058105","1071600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-25 00:00:00-04:00","6.6390300892895056","6.764294807955345","6.597275183067558","6.722539901733398","688400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-28 00:00:00-04:00","6.722541140921322","6.84780588267762","6.659908770043174","6.764296054840088","414800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-29 00:00:00-04:00","6.680789315627397","6.80605411529541","6.680789315627397","6.80605411529541","278400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-30 00:00:00-04:00","6.722541140921322","6.764296054840089","6.5972763991650245","6.764296054840088","459200","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-07-31 00:00:00-04:00","6.764294807955345","6.847804620399238","6.680784995511452","6.722539901733398","1213600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-01 00:00:00-04:00","6.680786915314503","6.764296751755934","6.513767242431641","6.513767242431641","1118000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-04 00:00:00-04:00","6.555522160652356","6.555522160652356","6.367625028659136","6.513767242431641","892400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-05 00:00:00-04:00","6.513762492759555","6.513762492759555","6.346742941663156","6.388497829437256","868800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-06 00:00:00-04:00","6.388499041126199","6.430253936819835","6.096214771270752","6.096214771270752","550400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-07 00:00:00-04:00","6.012710286610162","6.054465219156065","5.428141230967507","5.595160961151123","7560000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-08 00:00:00-04:00","5.6369129368956665","5.970952222045039","5.595158026251995","5.929197311401367","2802000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-11 00:00:00-04:00","6.012704979883481","6.096214771270752","5.929195188496211","6.096214771270752","1428000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-12 00:00:00-04:00","6.0962159538269045","6.3049904727935795","6.0962159538269045","6.263235569000244","1155200","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-13 00:00:00-04:00","6.304990054715064","6.743416515473396","6.263235153690461","6.472009658813477","865600","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-14 00:00:00-04:00","6.513767556140298","6.555522476371966","6.2632380347502865","6.346747875213623","762000","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-15 00:00:00-04:00","6.346745376586915","6.346745376586915","6.13797085762024","6.263235569000244","654400","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-18 00:00:00-04:00","6.304990054715064","6.597274361887286","6.179725351641255","6.472009658813477","606800","COST","Costco Wholesale Corporation (COST) Historical Data"
"1986-08-19 00:00:00-04:00","6.513762492759555","6.513762492759555","6.346742941663156","6.388497829437256","2744000","COST","Costco Wholesale Corporation (COST) Historical Data"
